transaction_id,timestamp,sku_id,store_id,quantity,unit_price,channel,customer_id
TXN0003891,2022-12-04T05:32:21,SKU0168,ST011,33,12.25,Online,CUST00180
TXN0045276,2023-05-30T17:08:05,SKU0217,ST012,31,6.45,POS,CUST03158
TXN0040632,2023-01-06T17:34:16,SKU0051,ST005,29,1.27,pos,CUST03060
TXN0013884,1656363937,SKU0134,ST020,18,3.77,pos,CUST00889
TXN0047679,12/11/2024 03:06:20,SKU0009,ST049,7,2.51,pos,
TXN0014942,21/06/2023 19:59:06,SKU0327,ST999,7,14.25,online,CUST02869
TXN0036417,2024-03-28T02:44:04,SKU0044,ST046,3,8.99,POS,CUST02388
TXN0045009,1652335635,SKU0185,ST054,5,3.15,pos,CUST02902
TXN0000974,27/06/2022 10:43:59,SKU0175,ST042,7,14.58,Online,
TXN0010296,31/10/2023 08:10:39,SKU0018,ST008,36,5.02,online,CUST02284
TXN0009335,1669961187,SKU0015,ST018,10,27.29,pos,CUST02711
TXN0034951,1661935071,SKU0098,ST052,9,2.17,online,CUST00953
TXN0049265,1728945975,,ST028,,6.27,pos,CUST00429
TXN0014994,1699686504,SKU0214,ST015,4,0.99,POS,CUST01296
TXN0032591,11/09/2024 22:17:51,SKU0365,ST028,6,5.49,POS,CUST00552
TXN0036507,17/03/2024 05:14:54,SKU0113,ST030,8,12.42,pos,
TXN0011011,1667842142,SKU0204,ST001,41,4.31,pos,CUST03965
TXN0042897,1708532719,SKU0185,ST050,6,3.29,pos,CUST03980
TXN0023011,2023-03-19T04:45:12,SKU0168,ST016,8,15.1,pos,CUST03247
TXN0034808,30/11/2023 18:06:35,SKU0287,ST002,,1.38,pos,CUST03764
TXN0035615,19/08/2023 09:24:41,SKU0240,ST001,19,23.16,pos,CUST02692
TXN0012009,2024-05-17T21:47:52,SKU0090,ST028,,3.63,pos,CUST00369
TXN0049494,2024-11-23T21:28:00,SKU0302,ST018,13,2.46,Online,CUST02823
TXN0019835,2022-04-23T11:34:15,SKU0048,ST035,1,4.36,online,CUST00322
TXN0013508,1731855291,SKU0299,ST060,3,6.01,online,
TXN0017833,05/11/2023 09:14:48,SKU0137,ST054,6,7.87,pos,CUST00382
TXN0037233,2023-09-20T20:36:31,SKU0291,ST012,53,4.41,Online,CUST02923
TXN0004089,1717745189,SKU0079,ST047,3,11.62,POS,CUST00328
TXN0045583,04/06/2024 07:42:05,SKU0239,ST039,67,24.94,POS,CUST01951
TXN0002963,16/12/2023 00:18:13,SKU0098,ST047,4,2.31,pos,CUST03451
TXN0031409,12/09/2023 23:28:22,SKU0351,ST051,6,28.68,Online,CUST02359
TXN0042699,2022-02-19T04:09:16,SKU0120,ST037,11,11.13,pos,CUST01160
TXN0048556,24/06/2023 06:58:28,SKU0134,ST006,31,3.5,Online,CUST00969
TXN0012628,1701264081,SKU0158,ST026,9,16.43,online,CUST03632
TXN0006349,2024-05-01T15:43:29,SKU0124,ST060,5,2.55,pos,CUST01460
TXN0023776,1655041096,SKU0183,ST031,7,1.37,pos,CUST03531
TXN0015051,2023-07-04T02:41:27,SKU0316,ST016,8,2.28,pos,CUST02717
TXN0017745,14/05/2023 10:07:52,SKU0335,ST011,50,19.82,Online,CUST03441
TXN0007441,10/01/2023 17:59:54,SKU0303,ST030,24,3.6,pos,CUST02107
TXN0017311,1641586264,SKU0157,ST047,,2.21,Online,CUST01404
TXN0020458,1676033942,SKU0147,ST011,25,9.74,pos,CUST00772
TXN0029902,20/10/2024 09:33:51,SKU0275,ST011,25,18.7,Online,CUST02786
TXN0017348,14/10/2022 10:52:13,SKU0262,ST021,11,1.53,online,CUST02111
TXN0042803,1684166818,SKU0301,ST006,56,34.18,POS,CUST02344
TXN0017400,1685275744,SKU0175,ST041,13,24.38,Online,CUST01713
TXN0025242,1719933769,SKU0313,ST055,3,3.93,pos,CUST03318
TXN0042164,1735048366,SKU0355,ST048,17,3.31,POS,CUST03940
TXN0033197,1721241565,SKU0195,ST035,2,6.58,online,CUST01425
TXN0013364,16/05/2024 19:29:13,SKU0278,ST033,41,2.12,pos,CUST00359
TXN0009313,2024-07-30T05:37:55,SKU0042,ST044,3,20.22,online,CUST02734
TXN0037933,2024-05-12T10:53:06,SKU0100,ST010,14,3.66,POS,
TXN0033965,2024-07-13T01:26:49,SKU0288,ST006,53,31.17,pos,CUST03089
TXN0025378,1730879494,SKU0023,ST048,5,1.31,Online,CUST02029
TXN0037016,1729186350,SKU0016,ST041,15,2.4,pos,CUST03470
TXN0004568,2023-01-26T02:09:13,SKU0207,ST057,3,16.29,POS,
TXN0048781,1732575687,SKU0150,ST023,59,27.31,pos,CUST02922
TXN0013902,1674641548,SKU0047,ST013,15,16.66,pos,CUST01303
TXN0001434,2024-04-12T07:59:11,SKU0258,ST046,6,9.21,POS,CUST02979
TXN0002241,1707159424,SKU0054,ST029,29,2.88,POS,CUST01455
TXN0012802,2022-12-01T11:56:46,SKU0215,ST017,21,7.53,online,CUST00238
TXN0029602,16/07/2024 03:12:23,SKU0130,ST016,9,1.98,POS,CUST03809
TXN0041462,28/06/2022 15:55:33,SKU0072,ST024,7,4.09,Online,CUST00013
TXN0045869,1678845030,SKU0308,ST058,5,3.23,Online,CUST02533
TXN0042023,2023-04-16T00:19:45,SKU0298,ST053,3,20.76,pos,CUST03224
TXN0001274,2023-02-03T12:19:23,SKU0186,ST028,3,4.05,Online,CUST00680
TXN0041114,1651614837,SKU0266,ST019,8,5.12,Online,CUST02999
TXN0022783,2023-03-14T10:26:42,SKU0150,ST029,17,26.31,pos,CUST01952
TXN0046945,1725269738,SKU0104,ST026,15,5.83,Online,
TXN0013779,10/02/2022 19:27:12,SKU0173,ST006,74,19.28,pos,CUST01252
TXN0007246,1710967723,SKU0163,ST045,3,4.94,pos,CUST03007
TXN0021830,27/07/2024 16:49:16,SKU0377,ST049,6,3.95,pos,CUST00618
TXN0033759,10/10/2024 11:16:35,SKU0142,ST042,6,,POS,CUST01925
TXN0030696,1670903803,SKU0042,ST044,3,20.3,pos,CUST02257
TXN0044303,09/12/2024 09:27:46,SKU0166,ST002,,4.4,Online,CUST02002
TXN0023390,2024-09-06T04:39:04,SKU0233,ST038,10,26.83,POS,CUST01972
TXN0021062,12/03/2022 15:28:27,SKU0245,ST035,6,6.72,Online,CUST00051
TXN0023795,1684853465,SKU0038,ST013,13,5.44,pos,CUST01959
TXN0042165,16/11/2023 12:52:36,SKU0080,ST017,21,5.66,pos,CUST00805
TXN0037180,2023-04-01T03:56:19,SKU0097,ST031,9,7.4,online,CUST02203
TXN0005664,1694960187,SKU0316,ST044,3,2.53,pos,
TXN0042378,2023-04-19T18:28:44,SKU0284,ST033,10,2.99,POS,CUST00931
TXN0021942,2023-03-23T09:28:40,SKU0264,ST041,2,5.21,online,CUST03171
TXN0042053,01/05/2024 21:51:30,SKU0214,ST040,1,1.04,online,CUST01717
TXN0008776,1651494990,SKU0242,ST032,5,2.32,pos,CUST02117
TXN0032089,17/03/2023 13:40:25,SKU0019,ST021,7,6.05,POS,CUST02896
TXN0021262,1644595587,SKU0050,ST036,3,13.79,POS,CUST01421
TXN0047815,15/05/2022 21:15:14,SKU0004,ST041,0,7.51,POS,CUST01901
TXN0034220,22/07/2024 16:39:35,SKU0303,ST017,16,3.54,Online,CUST01458
TXN0016224,1724317671,SKU0117,ST013,19,8.07,POS,CUST03236
TXN0023137,2023-10-21T21:27:14,SKU0245,ST019,9,6.78,pos,CUST03767
TXN0035604,1641889961,,ST025,,4.23,pos,CUST02257
TXN0031613,2023-03-25T00:11:40,SKU0331,ST002,14,5.13,POS,CUST01638
TXN0044264,30/06/2023 05:30:43,SKU0219,ST037,5,5.14,pos,CUST01243
TXN0047540,2024-12-15T15:41:07,SKU0374,ST036,9,27.3,pos,CUST03825
TXN0027918,2024-11-14T16:50:33,SKU0067,ST050,4,3.03,Online,CUST01293
TXN0018274,1687091751,SKU0338,ST035,9,6.35,online,CUST03000
TXN0020568,1687899165,SKU0240,ST012,20,23.08,online,
TXN0008673,1709379415,SKU0138,ST047,4,3.96,Online,CUST01701
TXN0012611,04/10/2023 12:48:04,SKU0271,ST017,8,30.5,Online,CUST03064
TXN0028225,2023-03-25T00:28:21,SKU0168,ST022,6,13.66,Online,
TXN0004740,1683332922,SKU0031,ST026,12,20.52,online,CUST00069
TXN0044882,21/07/2023 12:41:08,SKU0170,ST017,15,29.74,POS,CUST00877
TXN0007801,1720827355,SKU0126,ST050,13,23.6,pos,CUST00603
TXN0000068,2024-07-30T11:08:43,SKU0080,ST042,8,6.02,POS,CUST01257
TXN0022130,31/08/2023 08:07:52,SKU0111,ST050,3,30.14,POS,CUST01643
TXN0016694,2024-08-18T21:30:48,SKU0071,ST041,3,3.06,pos,CUST02948
TXN0028650,25/01/2022 03:55:56,SKU0047,ST048,3,16.16,pos,
TXN0037491,1703029184,SKU0181,ST059,13,3.62,Online,CUST00936
TXN0034645,2023-09-14T13:47:54,SKU0337,ST028,6,18.0,Online,CUST01693
TXN0037549,25/08/2022 08:24:57,SKU0173,ST060,1,17.24,pos,
TXN0001997,03/08/2022 20:14:03,SKU0114,ST020,25,17.05,POS,CUST03566
TXN0024680,1700589249,SKU0294,ST053,22,18.5,Online,CUST03103
TXN0036125,02/08/2022 09:07:05,SKU0020,ST034,55,2.4,POS,CUST02900
TXN0008340,2023-09-16T06:03:23,SKU0209,ST034,33,2.91,POS,CUST01943
TXN0026220,25/12/2024 09:47:26,SKU0223,ST053,19,9.52,pos,CUST03716
TXN0025629,1732002570,SKU0005,ST053,1,13.78,online,CUST00024
TXN0009171,30/06/2024 12:27:43,SKU0288,ST028,5,31.68,Online,CUST03736
TXN0008913,2024-10-04T18:20:31,SKU0179,ST055,2,3.27,online,CUST00480
TXN0009409,2024-05-28T19:38:32,SKU0397,ST038,8,3.34,pos,CUST02397
TXN0026669,1679287558,SKU0338,ST050,3,5.88,pos,CUST02651
TXN0023600,2023-01-15T14:50:26,SKU0305,ST046,5,2.48,pos,
TXN0039134,02/04/2022 19:44:30,SKU0193,ST030,9,8.4,pos,CUST01952
TXN0040473,2023-10-04T01:56:40,SKU0331,ST032,6,4.67,Online,CUST00544
TXN0033782,2024-01-01T16:42:24,SKU0010,ST999,5,23.3,POS,
TXN0008493,18/07/2024 01:47:56,SKU0070,ST018,18,7.87,online,CUST01670
TXN0022380,1718516907,SKU0220,ST053,6,4.15,online,CUST02454
TXN0014855,27/04/2023 07:18:58,SKU0206,ST040,1,4.8,Online,CUST02874
TXN0043408,1644802906,SKU0044,ST020,26,7.32,POS,CUST02834
TXN0036543,2024-11-13T13:51:20,SKU0391,ST020,10,3.77,Online,CUST02655
TXN0030791,2023-10-30T17:13:57,SKU0106,ST007,27,3.83,POS,CUST01576
TXN0037354,2023-12-03T02:28:32,SKU0267,ST031,12,4.25,pos,CUST03848
TXN0034789,2022-11-19T06:34:13,SKU0027,ST053,7,26.32,Online,CUST03205
TXN0035382,25/04/2024 13:49:20,SKU0398,ST054,4,2.19,pos,CUST03825
TXN0002123,2023-10-02T18:46:57,SKU0146,ST040,2,25.27,pos,CUST02267
TXN0010088,1652327855,SKU0311,ST033,12,3.16,POS,CUST02894
TXN0009579,04/06/2022 16:59:54,SKU0227,ST038,9,4.38,pos,CUST00613
TXN0044358,11/11/2024 02:53:49,SKU0142,ST044,3,7.7,Online,CUST00904
TXN0024532,19/02/2024 21:36:26,SKU0002,ST015,3,2.12,pos,CUST03609
TXN0049462,1657477046,SKU0284,ST030,16,2.5,online,CUST03461
TXN0046214,17/03/2024 21:56:18,SKU0271,ST006,37,34.19,Online,CUST03240
TXN0037969,1716521099,SKU0228,ST024,13,8.47,Online,CUST02032
TXN0028187,2022-03-11T06:04:07,SKU0226,ST002,18,2.57,POS,
TXN0046869,1697280067,SKU0316,ST011,31,2.38,POS,
TXN0002528,17/12/2024 21:03:42,SKU0378,ST050,21,1.99,pos,CUST03833
TXN0027128,1679848914,SKU0300,ST012,37,4.58,POS,
TXN0037619,03/09/2024 12:35:01,SKU0145,ST056,5,9.58,pos,CUST00785
TXN0027951,2024-11-27T18:28:59,SKU0099,ST013,77,9.12,POS,CUST02904
TXN0006198,1687583088,SKU0003,ST998,8,7.48,online,CUST03652
TXN0019341,1699299929,SKU0305,ST058,5,1.51,POS,CUST02971
TXN0010485,2024-01-01T13:42:00,SKU0214,ST040,1,1.06,Online,CUST01527
TXN0038438,2023-12-22T13:20:56,SKU0219,ST033,32,5.73,pos,CUST02216
TXN0028218,12/12/2023 00:05:31,SKU0154,ST043,5,28.09,POS,CUST00669
TXN0033644,1722711726,SKU0004,ST041,7,8.16,pos,CUST01398
TXN0010433,1670719326,SKU0176,ST029,57,1.13,POS,CUST02161
TXN0018516,29/11/2022 20:14:35,SKU0193,ST046,6,8.52,pos,
TXN0018158,29/09/2023 07:42:23,SKU0033,ST014,13,20.65,pos,CUST02406
TXN0047008,1671676687,SKU0095,ST048,23,1.3,POS,CUST01148
TXN0015289,1730039460,SKU0002,ST003,17,1.99,Online,
TXN0012448,22/09/2023 03:02:25,SKU0272,ST031,8,4.32,POS,
TXN0004921,15/11/2022 23:00:09,SKU0136,ST048,4,16.19,POS,
TXN0004756,19/02/2024 14:14:30,SKU0181,ST053,1,4.89,Online,
TXN0012436,2024-12-16T19:14:23,SKU0382,ST001,44,4.94,POS,CUST01910
TXN0013577,1698469985,SKU0257,ST042,6,,online,
TXN0012080,1664011333,SKU0194,ST057,5,9.11,Online,CUST00916
TXN0031500,1719282763,SKU0074,ST054,7,8.23,pos,CUST00277
TXN0011417,1672947038,SKU0183,ST060,2,1.39,pos,CUST02222
TXN0043570,1658541077,SKU0165,ST003,9,4.0,POS,CUST00076
TXN0019238,1699195952,SKU0287,ST031,9,1.32,pos,
TXN0026894,06/07/2022 13:40:37,SKU0241,ST044,2,4.3,pos,CUST03172
TXN0008949,1675908081,,ST039,,28.76,POS,CUST01856
TXN0030023,2022-10-06T15:25:50,SKU0054,ST041,6,1.97,pos,CUST00426
TXN0021939,08/11/2023 00:20:08,SKU0337,ST009,21,18.12,online,CUST03439
TXN0047503,29/10/2023 05:47:34,SKU0191,ST027,17,4.9,POS,CUST03746
TXN0036519,14/07/2023 15:47:46,SKU0252,ST023,30,1.85,pos,CUST02195
TXN0039115,18/05/2023 04:53:48,SKU0129,ST006,46,1.26,POS,CUST01335
TXN0002491,1714006741,SKU0355,ST038,6,3.26,pos,CUST01926
TXN0024943,1666830587,,ST053,,27.37,Online,CUST00645
TXN0023623,1689998646,SKU0014,ST012,15,3.26,POS,
TXN0041602,2023-11-08T01:04:50,SKU0215,ST027,12,7.85,POS,CUST01766
TXN0046120,1724858114,SKU0147,ST010,16,11.92,POS,CUST03570
TXN0028551,1716831354,SKU0102,ST028,5,5.21,pos,CUST03646
TXN0016965,1708348553,SKU0231,ST056,4,2.29,Online,CUST00957
TXN0012939,30/09/2024 18:55:28,SKU0022,ST047,3,8.2,Online,CUST02141
TXN0043467,2024-07-12T06:16:36,SKU0194,ST060,1,9.17,pos,CUST01881
TXN0047411,15/02/2024 02:23:28,SKU0338,ST007,15,5.92,POS,CUST00436
TXN0047585,2024-12-20T08:17:27,SKU0196,ST030,22,6.12,POS,CUST03773
TXN0004547,1659299793,SKU0165,ST051,4,3.64,POS,CUST03961
TXN0043706,30/10/2022 07:18:53,SKU0313,ST013,49,3.12,pos,CUST01525
TXN0039500,1663498026,SKU0160,ST057,5,2.24,Online,CUST02181
TXN0016376,1666088947,SKU0163,ST051,3,3.91,online,CUST00798
TXN0018878,08/09/2023 13:33:04,SKU0068,ST015,5,7.8,POS,CUST00264
TXN0009325,1687371259,SKU0084,ST006,8,5.09,Online,CUST03474
TXN0012149,01/04/2022 00:14:51,SKU0189,ST028,0,1.5,Online,
TXN0005053,1661048260,SKU0049,ST002,29,21.88,pos,CUST03076
TXN0005120,2024-08-18T01:06:16,SKU0336,ST050,8,4.04,pos,CUST03510
TXN0038168,1715772202,SKU0303,ST008,36,3.94,Online,
TXN0012254,1683759579,SKU0138,ST020,28,4.21,POS,CUST00101
TXN0025353,2023-07-24T13:35:03,SKU0015,ST010,34,29.5,pos,CUST00987
TXN0028568,11/10/2024 12:28:06,SKU0283,ST052,8,13.8,Online,CUST00548
TXN0039617,1729539862,SKU0222,ST014,6,4.06,POS,
TXN0015538,1732755060,SKU0007,ST011,22,13.38,POS,CUST00418
TXN0038629,1730576390,SKU0159,ST005,57,3.03,POS,CUST03251
TXN0019464,1666733137,SKU0276,ST003,7,14.04,pos,CUST03306
TXN0027317,2023-03-09T01:52:28,SKU0325,ST012,37,1.6,online,CUST02779
TXN0021170,2024-07-11T07:19:38,SKU0049,ST021,4,24.87,online,CUST01597
TXN0024824,1678978054,SKU0198,ST032,0,1.56,pos,CUST00510
TXN0016934,17/12/2023 09:35:37,SKU0174,ST020,12,4.44,pos,CUST02977
TXN0005945,1653818777,SKU0056,ST014,13,6.89,pos,CUST03882
TXN0038449,1664120899,SKU0132,ST006,10,16.27,POS,CUST00492
TXN0007749,03/10/2024 21:04:49,SKU0337,ST049,7,17.96,Online,CUST02962
TXN0003096,1667878824,SKU0032,ST004,21,2.0,POS,CUST00049
TXN0002814,16/04/2023 06:46:53,SKU0048,ST016,3,5.4,POS,CUST00363
TXN0016657,11/01/2023 11:14:15,SKU0181,ST011,7,4.87,pos,CUST03820
TXN0013932,1700137101,SKU0251,ST040,-2,27.81,POS,CUST02370
TXN0033596,1666404541,SKU0274,ST003,25,1.08,pos,CUST02573
TXN0017898,30/09/2023 00:26:51,SKU0035,ST044,2,27.49,POS,CUST03687
TXN0029991,2022-07-12T08:36:24,SKU0228,ST040,2,7.37,pos,CUST03120
TXN0011147,2022-01-21T22:42:44,SKU0249,ST020,14,1.68,Online,CUST01496
TXN0047967,26/11/2024 16:57:00,SKU0039,ST002,17,5.85,pos,CUST01238
TXN0005852,2024-06-02T21:23:31,SKU0382,ST002,12,4.57,online,
TXN0036926,16/12/2024 14:42:17,SKU0306,ST044,4,14.28,pos,
TXN0020462,24/10/2023 22:15:34,SKU0101,ST017,-2,18.44,POS,CUST00046
TXN0029231,2022-10-23T05:44:50,SKU0266,ST054,5,4.88,pos,CUST02693
TXN0004236,1681777773,SKU0088,ST019,14,4.54,pos,CUST03551
TXN0005240,2024-01-20T07:51:00,SKU0233,ST054,5,28.21,POS,CUST02310
TXN0012993,1692761085,SKU0240,ST055,4,23.41,POS,CUST03623
TXN0002045,1663164282,SKU0087,ST010,29,6.31,pos,CUST00149
TXN0044843,2023-11-17T21:39:28,SKU0302,ST020,17,1.96,POS,CUST01450
TXN0013750,1671425757,SKU0317,ST034,17,12.84,pos,CUST03472
TXN0012126,1651703184,SKU0110,ST033,11,5.33,pos,
TXN0045139,16/06/2023 17:21:33,SKU0338,ST012,49,6.48,online,CUST03143
TXN0039372,02/02/2022 21:48:35,SKU0266,ST022,8,4.88,POS,CUST02580
TXN0029208,23/01/2024 05:46:41,SKU0221,ST055,,12.8,pos,CUST01202
TXN0032275,1656446612,,ST009,,15.8,pos,CUST01544
TXN0023051,1728745651,SKU0087,ST013,29,7.86,POS,CUST00570
TXN0013710,2023-06-23T14:07:33,SKU0012,ST046,6,11.69,POS,CUST02973
TXN0010543,16/03/2022 20:00:29,SKU0094,ST999,9,4.1,pos,
TXN0029310,16/05/2023 19:07:42,SKU0255,ST027,8,4.74,pos,CUST01367
TXN0035663,1685101191,SKU0360,ST015,12,15.49,POS,CUST00357
